content,offset,samples,alpha,beta,gamma,delta,theta
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,4000,24,0.535258544,0.768315828,1.041475774,0.245240674,0.286220046
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,5000,23,1.127240205,1.229877686,0.733191534,0.814335277,0.983536551
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,6000,23,0.707577236,0.373247371,0.349006111,0.307166701,0.549181334
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,7000,23,0.730722734,0.560386217,0.387037513,0.304968849,0.361656073
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,8000,19,0.650195146,0.597260066,0.250430758,0.193418233,0.138712138
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,9000,21,1.229802652,0.934448801,0.524660628,0.409510082,0.609916604
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,10000,21,0.351093108,0.603366373,0.610841322,0.415464246,0.33636154
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,11000,23,0.497051422,0.534779917,0.476383259,0.408798016,0.2612281
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,12000,24,0.419765619,0.431212964,0.249004199,0.678297575,0.374800144
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,13000,24,0.688655462,0.923841205,0.732566868,0.416131731,0.275444046
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,14000,17,0.530583022,0.586406197,0.590865777,0.385139984,0.515805682
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,15000,4,0.714225136,1.438521569,0.840574951,0.698749975,0.176338195
3a9ce331f6091447dddbb80635d2aee518f64070.webm,0,22,0.890206117,1.056878905,0.544833113,1.027738164,1.071827056
3a9ce331f6091447dddbb80635d2aee518f64070.webm,1000,22,1.131122195,0.701280213,0.71566424,0.915592264,0.788812036
3a9ce331f6091447dddbb80635d2aee518f64070.webm,2000,22,0.838120889,0.481780601,0.59665181,0.790835743,0.637253909
3a9ce331f6091447dddbb80635d2aee518f64070.webm,3000,19,0.398851669,0.909925645,0.446422139,0.419639957,0.417438896
3a9ce331f6091447dddbb80635d2aee518f64070.webm,4000,24,0.612280336,0.780006382,0.732894401,0.385536146,0.459466501
3a9ce331f6091447dddbb80635d2aee518f64070.webm,5000,26,0.690409734,0.556608895,0.775098939,0.475634246,0.78145705
3a9ce331f6091447dddbb80635d2aee518f64070.webm,6000,23,0.422937118,0.704595803,0.823122195,0.467998594,0.060877867
3a9ce331f6091447dddbb80635d2aee518f64070.webm,7000,23,0.362004189,0.66146307,0.27816117,0.203103708,0.269829327
3a9ce331f6091447dddbb80635d2aee518f64070.webm,8000,24,0.402072052,0.738558955,0.645967968,0.348074936,0.685570691
3a9ce331f6091447dddbb80635d2aee518f64070.webm,9000,23,0.685431812,0.601635904,0.639451601,0.570966364,0.678328518
3a9ce331f6091447dddbb80635d2aee518f64070.webm,10000,20,0.540892557,0.416999945,0.57817275,0.198271729,0.255816792
3a9ce331f6091447dddbb80635d2aee518f64070.webm,11000,21,0.620367057,0.711699236,0.625510975,0.640688066,0.869759622
3a9ce331f6091447dddbb80635d2aee518f64070.webm,12000,20,0.462017696,0.716788619,0.580622707,0.071791911,0.350617071
3a9ce331f6091447dddbb80635d2aee518f64070.webm,13000,21,0.974147349,0.824608377,0.417385543,0.375910054,0.59182085
3a9ce331f6091447dddbb80635d2aee518f64070.webm,14000,23,0.54516598,0.828767039,0.390820729,0.301579549,0.421087146
3a9ce331f6091447dddbb80635d2aee518f64070.webm,15000,25,1.047112753,0.865442721,0.636319708,0.431698196,0.617602472
3a9ce331f6091447dddbb80635d2aee518f64070.webm,16000,22,1.135398501,1.215577193,0.549142303,0.396759013,0.848728283
3a9ce331f6091447dddbb80635d2aee518f64070.webm,17000,25,0.40886529,0.706815111,0.868400674,0.834632898,0.372545024
